🟥	🟧	🟨	🟩	🟦	🟪	🟫
▫	▫	▫	✅	✅	✅	✅
✅	✅	✅	✅	✅	✅	✅
✅	✅	✅	✅	✅	✅	✅
✅	✅	✅	✅	✅	✅	✅
✅	✅	✅	✅	✅	✅	▫
