Su	Mo	Tu	We	Th	Fr	Sa
0	0	0	0	0	0	✅
✅	✅	✅	✅	✅	✅	✅
✅	✅	✅	✅	✅	✅	✅
✅	✅	✅	✅	✅	✅	✅
✅	✅	✅	✅	✅	✅	✅
✅	✅					
