한식	만복국수	채선당	배꼽집	국수나무	지하 순대국	한솥	그집김밥애라면	봉추찜닭	감자탕	광화문닭곰탕	주미당	선향정	승리부대찌개	서울찜닭	두루미가	원산옥	두부공작소	개미집	계림	누리정	창고 43	닭이봉 닭갈비
중식	서룡	당가원(성산동)	낭만짬뽕	최선생마라탕	완차이면가	피슈 마라홍탕	이화원
일식	마이클 돈까스	가치	김영섭 초밥	온돈부리	주람	아고야	식락	옥소반 (스키야키)	
양식	감천양조장	인칸토	트라토리아 몰토	서울미트볼	미스터피자	In the sun (파스타)
패스트푸드	바스버거	서브웨이	버거킹	KFC	셀렉티	크라이치즈버거	블리스버거(kgit1층)
샐러드	마마스	마치래빗	리우키친
기타	분짜라임	고씨네	KGIT 지하	소세지하우스	코코이찌방야
