🟥	🟧	🟨	🟩	🟦	🟪	🟫	
◻	◻	◻	◻	◻	◻	✅	
✅	💟	✅	💟	✅	✅	✅	
💟	✅	✅	💟	✅	✅	💟	
✅	✅	✅	💟	✅	✅	💟	
✅	✅	💟	💟	✅	✅	✅	
✅	✅	◻	◻	◻	◻	◻	
